description,image_id,label_eng,label_ka,notes,sort_ja,id
nan,"[44980, 44993, 44999, 45030, 45071, 45113, 45230, 45238, 45242, 45248, 45294, 45318, 45710, 45713, 45716, 45926, 46015, 46017, 46035, 46037, 46042, 46155, 46156, 46157, 46158, 46159, 46487, 46489, 46491, 46493, 46495, 46521, 46733, 46759, 46781, 46782, 46821, 46833, 46836, 46861, 46899, 47069, 47070, 47071, 47073, 47074, 47446, 47447, 47448, 47453, 47625, 47626, 47627, 47628, 47629, 47630, 47653, 47678, 47679, 47685, 47853, 47854, 48440, 48441, 48455, 48466, 48467, 49231, 49232, 49235, 49265, 49266, 49267, 49268, 49269, 49270, 49647, 49648, 49655, 49656, 49657, 49658, 49670, 49671, 49672, 49673, 49676, 49677, 50912, 50913, 50925, 50926, 50927, 50928, 50989, 50990, 50991, 52160, 52211, 52459, ...]",Arm,手,,て,28
nan,"[44980, 44983, 45001, 45010, 45057, 45058, 45071, 45238, 45240, 45264, 45288, 45294, 45312, 45318, 46015, 46017, 46031, 46033, 46042, 46043, 46045, 46047, 46155, 46156, 46158, 46495, 46567, 46717, 46718, 46733, 46833, 46835, 46837, 46861, 47072, 47148, 47151, 47152, 47153, 47154, 47155, 47156, 47158, 47168, 47204, 47438, 47439, 47577, 47579, 47580, 47647, 47682, 47683, 47853, 47854, 47882, 47883, 47884, 48440, 49231, 49233, 49234, 49257, 49260, 49261, 49279, 49280, 49281, 49282, 49283, 49287, 49288, 49651, 49652, 49653, 49654, 49655, 49656, 49657, 49658, 49674, 49675, 50928, 51100, 52470, 52474, 52475, 52482, 52483, 52484, 52485, 52486, 52828, 55915, 55916, 55981, 55997, 56446, 57318, 57319, ...]",Leg,足,,あし,29
nan,"[44979, 44983, 44984, 45007, 45114, 45116, 45258, 45260, 45261, 45262, 45264, 45266, 45290, 46039, 46041, 46043, 46045, 46047, 46503, 46519, 46537, 46539, 46541, 46713, 46717, 46718, 46726, 46727, 46742, 46836, 46837, 46900, 46902, 47041, 47042, 47043, 47044, 47137, 47139, 47140, 47141, 47142, 47143, 47144, 47145, 47146, 47147, 47148, 47149, 47150, 47151, 47152, 47153, 47154, 47155, 47156, 47157, 47158, 47159, 47174, 47175, 47176, 47197, 47198, 47199, 47200, 47201, 47202, 47203, 47204, 47413, 47414, 47415, 47416, 47417, 47418, 47419, 47420, 47421, 47422, 47423, 47431, 47432, 47685, 49273, 49274, 49275, 49276, 49277, 49289, 49290, 50943, 50944, 50945, 50946, 50947, 50983, 50984, 50985, 50986, ...]",Costume,衣装,,いしょう,30
nan,"[44982, 44994, 44997, 45268, 45304, 45445, 46713, 46716, 46728, 46738, 47104, 47105, 47459, 47462, 47558, 47559, 47560, 47561, 47562, 47563, 47700, 47701, 60712, 60713, 61127, 61187, 61272, 61672]","Mochizuki Taishirō, Offstage Musician",もちづきたいしろう,,もちづきたいしろう,31
nan,"[8591, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 11300, 11301, 11302, 11304, 11307, 11308, 11312, 11479, 11480, 11586, 11587, 11588, 11589, 11590, 11591, 11627, 11628, 11629, 11631, 11632, 11634, 11635, 11637, 44981, 45016, 45045, 45046, 45057, 45061, 45078, 45116, 45300, 45301, 45302, 45367, 45453, 45461, 46021, 46023, 46027, 46084, 46086, 46092, 46206, 46515, 46517, 46525, 46533, 46535, 46626, 46667, 46669, 46698, 46700, 46704, 46706, 46712, 46715, 46757, 46761, 46764, 46765, 46809, 46833, 46834, 46843, 46868, 46902, 46913, 46914, 46933, 46934, 46936, 46937, 47025, 47091, 47094, 47095, 47096, 47097, 47098, 47099, 47100, 47101, 47102, 47103, 48117, 48907, 48908, ...]",Set Construction,大道具造り,,おおどうぐづくり,32
nan,"[44990, 45005, 45304, 45433, 45445, 45460, 46716, 46724, 52540, 52541, 52542, 52543, 52544, 52545, 52546, 52662, 52663, 57879, 57880, 61187, 61272, 61977]",Taiko [drum],太鼓,,たいこ,33
nan,"[45001, 45343, 45345, 45347, 46736, 47485, 47486, 47487, 47488, 47489, 47490, 47491, 47492, 47493, 47494, 47689, 47690, 47691, 47692, 47693, 47694, 47695, 54621, 54906, 55924, 55925, 55926, 55927, 55928, 55929, 55930, 55931, 55932, 55933, 55934, 55935, 55936, 55937, 55938, 55939, 55940, 55941, 55942, 55943, 55944, 55945, 55946, 55947, 55948, 55949, 55950, 55951, 55952, 55953, 60682, 61986]",Training,稽古,,けいこ,34
nan,"[44993, 45353, 45355, 45363, 46727, 47452, 47454, 47455, 47457, 56564, 56565, 56566, 56567, 56569, 56570, 56571, 60709, 60710, 61194, 61273, 61292, 61300, 61676, 61927, 64624, 64625, 64626, 64628, 64629, 64630, 64631, 64632, 64633, 64634, 64635, 64636, 64637, 64638, 64639, 64640, 64641, 64642, 64643, 64644, 64645, 64646, 64647, 64648]",Yukahon [narrator's text],床本,,ゆかほん,35
nan,"[45007, 45010, 45013, 45017, 45021, 45024, 45030, 45071, 45219, 45220, 45306, 45310, 45312, 45314, 45335, 45347, 45398, 45406, 45416, 45417, 45418, 45419, 45420, 45422, 45423, 45424, 45472, 45473, 45474, 45476, 45478, 45483, 45487, 45489, 45491, 45493, 45495, 45503, 45505, 45509, 45511, 45513, 45711, 45712, 45713, 45717, 45752, 45754, 45756, 46013, 46015, 46017, 46035, 46159, 46160, 46479, 46513, 46515, 46519, 46712, 46720, 46721, 46723, 46733, 46734, 46743, 46748, 46752, 46755, 46758, 46766, 46767, 46768, 46773, 46780, 46781, 46833, 46836, 46837, 46861, 47007, 47008, 47009, 47010, 47051, 47237, 47246, 47275, 47276, 47277, 47278, 47279, 47280, 47281, 47282, 47283, 47284, 47322, 47323, 47324, ...]",Puppet,人形,,にんぎょう,36
Transverse harp with a wooden body and silk strings.,"[9221, 9222, 9223, 9224, 9225, 9226, 9227, 9632, 9633, 9634, 9635, 9636, 9637, 9638, 9639, 9640, 9642, 9643, 9644, 45025, 45042, 45070, 45076, 45599, 45640, 45642, 45644, 45679, 45920, 45973, 46149, 46150, 46193, 46774, 46828, 46860, 48262, 48290, 48291, 48292, 48293, 48294, 48297, 48790, 49136, 49137, 49138, 49139, 49627, 49628, 49629, 49857, 49858, 49859, 52337, 52900, 54205, 54205, 54206, 56750, 56751, 56752, 56753, 56754, 56756, 57522, 57525, 57526, 57527, 57529, 57530, 57531, 57532, 57533, 57534, 57535, 57538, 57539, 57540, 57541, 57897, 57898, 57899, 57903, 57904, 58361, 62122, 62123, 64446]",Koto [transverse harp],琴,,こと,37
Flying performance by performer being suspended by wires.,"[9171, 9172, 9173, 9174, 9175, 9196, 9197, 12254, 12255, 12256, 12257, 12854, 12855, 12856, 12934, 12935, 12936, 45060, 45068, 46068, 46134, 46841, 46856, 49327, 49328, 49329, 49332, 49553, 49554, 49555, 51495, 51496, 51497, 51498, 51499, 51779, 51780, 51781, 51782, 51787, 51793, 51794, 51885, 51886, 51887, 51888, 51889, 51890, 51891, 52307, 52355, 52374, 57214, 57215, 57216, 57217, 57218, 57219]",Chūzuri [flying performance],宙吊り,,ちゅうづり,38
Announcement performance.,"[45025, 45675, 46192, 46361, 46363, 46365, 61681]",Kōjō performance,口上（演目）,,こうじょう,39
nan,"[8379, 8380, 8768, 8769, 9055, 9056, 9571, 9572, 9573, 9574, 9575, 9576, 9577, 9578, 9579, 9580, 9581, 9582, 9583, 9584, 9585, 9586, 9587, 9588, 9589, 9590, 9591, 9592, 9593, 9594, 9595, 9596, 9597, 9598, 9599, 9600, 9601, 9602, 9603, 9604, 9605, 9606, 9607, 9608, 9715, 10098, 10099, 10171, 11022, 11023, 11024, 11025, 11026, 11027, 11028, 11029, 11030, 11300, 11301, 11302, 11304, 11306, 11307, 11308, 11310, 11311, 11312, 11355, 11427, 11428, 11476, 11523, 11541, 11546, 11560, 11583, 11584, 11585, 11586, 11587, 11614, 11619, 11620, 11621, 11622, 11623, 11638, 11766, 11767, 11768, 11769, 11770, 11771, 11772, 11773, 11774, 11775, 11776, 11777, 11778, ...]",Puppeteer,人形遣い,,にんぎょうづかい,40
Distribution/selection of puppet heads for roles.,"[49044, 49057, 49058, 59423, 59424, 59425, 59426]",Kashirawari [distribution of puppet heads],首割り,,くびわり,41
nan,[nan],"Mochizuki Haruo, Offstage Musician",もちづきはるお,,もちづきはるお,42
"Literally, shaded manipulator; denotes that all performing pupeteers appear on stage hooded and in the black robe (kuroko).","[8281, 8282, 8283, 8284, 8285, 8286, 8287, 8288, 8289, 8364, 8365, 8366, 8367, 8368, 8445, 8446, 8447, 8448, 8450, 8452, 8453, 8461, 8462, 8966, 8967, 8968, 8969, 8970, 8971, 8972, 9051, 9052, 9674, 9675, 9676, 9677, 9678, 9679, 9680, 9681, 9682, 9683, 9684, 9685, 9686, 9687, 9688, 9689, 9690, 9691, 9692, 9693, 9694, 9695, 9696, 9697, 9698, 9699, 9700, 9701, 9702, 9703, 9704, 9705, 9706, 9707, 9708, 9709, 9710, 9711, 9712, 9713, 9714, 9954, 9955, 9956, 9957, 9958, 9959, 9960, 9961, 9962, 9963, 9964, 9965, 9966, 9967, 9968, 9969, 9970, 9971, 9972, 9973, 9974, 9975, 9976, 9977, 9978, 9979, 9980, ...]",Kagezukai [hooded performers],影遣い,,かげづかい,43
nan,"[47645, 52185, 52187, 52190, 52192, 52193, 52196, 52201, 52203, 52205, 52225, 52226, 52237, 52238, 52240, 52241, 52242, 52243, 52244, 52245, 52395, 52396, 52397, 52398, 52399, 52400, 52403, 52404, 52405, 60752, 60754, 60764, 60765, 60766, 60767, 60768, 60769, 60770, 60771, 60772, 60773, 60774, 60775, 60776, 60777, 60778, 60779, 60781, 60782, 60783, 60784, 60785, 60786, 60787, 60788, 60789, 60791, 60792, 60793, 60794, 60796, 60798, 60800, 60802, 60807, 60808, 60810, 60811, 60813, 60814, 60816, 60817, 60820, 60821, 60828, 60830, 60831, 60837, 60842, 60844, 60845, 61144, 61145, 61146, 61147, 61150, 61151, 61152, 61153, 61154, 61155, 61157, 61226, 61230, 61231, 61233, 61236, 61258, 61259, 61260, ...]",Barbara Curtis Adachi,バーバラ・カーティス・足立,,ばーばら・かーてぃす・あだち,44
nan,"[52399, 52400, 52401, 52402, 52403, 52404, 52405, 61165, 61352, 61353, 61354, 61355, 61356, 61357, 61358, 61359, 61360, 61361, 61362, 61363, 61364, 61365, 61366, 61367, 61368, 61369, 61370, 61371, 61372, 61373, 61374, 61375, 61376, 61377, 61378, 61379, 61380, 61381, 61382, 61383, 61384, 61385, 61386, 61387, 61388, 61389, 61390, 61391, 61392, 61393, 61394, 61395, 61396, 61397, 61398, 61399, 61400, 61401, 61402, 61403, 61404, 61405, 61406, 61407, 61408, 61409, 61410, 61411, 61412, 61413, 61414, 61415, 61416, 61417, 61418, 61419, 61420, 61421, 61422, 61423, 61424, 61425, 61426, 61427, 61428, 61429, 61430, 61453, 61454, 61455, 61532, 61534, 61536, 61803, 61804, 61805, 61806, 61807, 61808, 61809, ...]","Tour, International",海外公演,,かいがいこうえん,45
nan,[nan],"Chikamatsu Monzaemon, 1653-1725",近松門左衛門,,ちかまつもんざえもん,46
For The Voices and Hands of Bunraku.,"[46721, 46723, 47275, 47645, 52244, 52245, 61163, 61529, 61897, 62219, 62220, 62222, 62223, 62224, 62227, 62233, 62234, 62237]","Harri Peccinotti, Photographer",ハリ・ペチノッティ,,はり・ぺちのってぃ,47
For The Voices and Hands of Bunraku.,"[60738, 60739, 60740, 60741, 60742, 60743, 60744, 60745, 60746, 60747, 60748, 60750, 60751, 60756, 60757, 60761, 61162]","Jason Choi, Translator",ジェイソン・チョイ,,じぇいそん・ちょい,48
For The Voices and Hands of Bunraku.,"[60749, 60753, 60759, 60760, 61160]","Derek Birdsall, Art Director",デレック・バードサル,,でれっく・ばーどさる,49
For The Voices and Hands of Bunraku.,"[47645, 52244, 52245, 60739, 60743, 60744, 60745, 60746, 60747, 60750, 60755, 60756, 60758, 61161, 61529, 61897, 62221, 62228, 62234]","Gregory Vitiello, Editor",グレゴリー・ヴィティエロ,,ぐれごりー・びぃてぃえろ,50
"By Barbara C. Adachi, Tokyo; New York: Kodansha International, c1978.","[52185, 52186, 52187, 52243, 52244, 52245, 52518, 52986, 54056, 55410, 55879, 56166, 56693, 60703, 60704, 60705, 60706, 60707, 60708, 60709, 60710, 60711, 60712, 60713, 60714, 60715, 60716, 60717, 60718, 60719, 60720, 60721, 60722, 60724, 60725, 60726, 60727, 60728, 60729, 60730, 60731, 60732, 60733, 60734, 60735, 60736, 60737, 60738, 60739, 60740, 60741, 60742, 60743, 60744, 60745, 60746, 60747, 60748, 60749, 60750, 60751, 60752, 60753, 60754, 60755, 60756, 60757, 60758, 60759, 60760, 60761, 60762, 60763, 60764, 60765, 60766, 60767, 60768, 60769, 60770, 60771, 60772, 60773, 60774, 60775, 60776, 60777, 60778, 60779, 60780, 60781, 60782, 60783, 60784, 60785, 60786, 60787, 60788, 60789, 60790, ...]",The Voices and Hands of Bunraku,文楽のひとびと,,ぶんらくのひとびと,51
"By Barbara C. Adachi, New  York: John Weatherhill, Inc., 1985.","[52262, 52263, 52264, 61170, 61171, 61172, 61173, 61174, 61175, 61176, 61177, 61178, 61180, 61186, 61187, 61188, 61189, 61191, 61192, 61193, 61194, 61195, 61196, 61197, 61198, 61199, 61200, 61201, 61202, 61203, 61204, 61205, 61206, 61207, 61208, 61209, 61210, 61211, 61212, 61214, 61215, 61216, 61217, 61218, 61219, 61247, 61266, 61267, 61268, 61269, 61270, 61271, 61272, 61273, 61274, 61275, 61276, 61277, 61278, 61279, 61280, 61281, 61282, 61289, 61600, 61657, 61658, 61659, 61660, 61661, 61662, 61663, 61664, 61665, 61666, 61667, 61668, 61669, 61670, 61903, 61904, 61905, 61906]",Backstage at Bunraku,バックステージ・アット・ブンラク,,ばっくすてーじ・あっと・ぶんらく,52
"Opened in Osaka, Japan, in 1984.",[nan],National Bunraku Theatre,国立文楽劇場,,こくりつぶんらくげきじょう,53
nan,"[8295, 9340, 9341, 9342, 9343, 9344, 9346, 9347, 9348, 9368, 9371, 9373, 9376, 9377, 11365, 11441, 11450, 11481, 11560, 11583, 11584, 11585, 11586, 11587, 11620, 11621, 11638, 11768, 11769, 11770, 11771, 11772, 11773, 11774, 11777, 11778, 11978, 45319, 45320, 45429, 45459, 45463, 46711, 46747, 46751, 46752, 46766, 46816, 46827, 46841, 46960, 46985, 46986, 46987, 46988, 46989, 46990, 47006, 47849, 47850, 47851, 47852, 47918, 47919, 47920, 47921, 47925, 47927, 47939, 47941, 47942, 47943, 48165, 48264, 48298, 48567, 48569, 48570, 48647, 48744, 48860, 48861, 48862, 48863, 48921, 48922, 48923, 48999, 49000, 49001, 49006, 49007, 49008, 49333, 49334, 49335, 49336, 49337, 49338, 49351, ...]",Directing,演出,,えんしゅつ,54
nan,[nan],Performer directory,文楽人名録,,ぶんらくじんめいろく,56
nan,"[46834, 47517, 47518, 49248, 49249, 55828, 55829, 55830, 55831, 55836, 55839, 55840, 55954, 56322, 56342, 57928, 57929, 62214]",Theater,劇場,"Photographs of viewer seats, stage curtain, etc.",げきじょう,58
nan,[nan],Personal photograph,足立個人写真,"Bunraku related, but off-off-stage photographs, e.g. with family of performers.",あだちこじんしゃしん,59
nan,"[52147, 52148, 52149, 52150, 52151, 52181, 52182, 52183, 52184, 55887, 55888, 55889, 55890, 55891, 55892, 55893, 55894, 55895, 55896, 55897, 55898, 55899, 55900, 55901, 55902, 55903, 55904, 55905, 55906, 55907, 55908, 55909, 56258, 56259, 56260, 56261, 56262, 56263, 56345, 56346, 56347, 56348, 56349]",Non-Bunraku materials,文楽以外の資料,,ぶんらくいがいのしりょう,60
"Three instruments: koto, kokyū and shakuhachi. Played in Bunraku by a shamisen player when a character in performance plays the instrument.","[9652, 9654, 9656, 9658, 9666, 9668, 9670, 9671, 9672, 9673, 46829, 49140, 49141, 49142, 49143, 49144, 57536, 57537, 57544, 57545, 57546, 57547, 57548, 57549, 57550, 57551, 57552, 57553, 57554, 57555, 57559, 62159]",Sankyoku [three instruments],三曲,,さんきょく,61
Revolving platform for narrators and shamisen players.,"[46847, 47974, 49419, 52728, 52755, 52764, 56293, 61115, 61196, 61273, 61659, 61668]",Auxiliary stage,床あるいは出語台,,ゆか,62
"A device consisting of a wooden rod, a cord, and a lever attached to puppet's left arm.","[49267, 49268, 49269, 49270, 49290, 49291, 49647, 49648, 49670, 49671, 49672, 49673, 49676, 49677, 50926, 50927, 58260, 58261, 58282, 58285, 61633, 61647, 61648, 64532, 64533, 64615, 64616]",Armature,さし金,,さしがね,63
nan,"[9666, 9668, 9670, 9671, 9672, 9673, 49140, 49141, 49142, 49143, 49144, 62159]",Kokyū [a musical instrument],胡弓,,こきゅう,64
nan,[nan],Shakuhachi [a musical instrument],尺八,,しゃくはち,65
nan,[nan],"Puppetry, non-Bunraku",文楽以外の人形浄瑠璃,,ぶんらくいがいのにんぎょうじょうるり,66
nan,[nan],Performance list,公演情報資料,,こうえんじょうほうしりょう,67
nan,[nan],Performance recording,文楽サウンドレコーディング,For audio visual materials.,ぶんらくさうんどれこーでぃんぐ,68
nan,"[9492, 9493, 9494, 9495, 9496, 9497, 9498, 9499, 9500, 9501, 9502, 9503, 9504, 9505, 9506, 9507, 9508, 9509, 9510, 9511, 9512, 9513, 9514, 9515, 9516, 9517, 9518, 9519, 9520, 9521, 9522, 9523, 9524, 9525, 9526, 9527, 9528, 9529, 9530, 9531, 9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551, 9552, 9553, 9554, 52406, 61322]",Television programs/motion pictures,テレビ番組・映画,For audio visual materials.,てれびばんぐみ・えいが,69
"Literally, east and west; hear ye!","[9715, 10098, 10099, 10171, 11523, 11541, 46848, 47710, 47711, 49462, 52051, 52053, 52552, 53395, 54122, 54123, 54242, 55830, 55831, 55832, 55833, 55834, 55839, 57387, 58244, 58245, 58452, 58561, 58622, 58885, 59899, 59900, 60121, 62156]",Kōjō [announcement],口上（東西東西）,,こうじょう（とうざいとうざい）,70
nan,"[47453, 47813, 47814, 47815, 47816, 47817, 47818, 47819, 47820, 47821, 47822, 47950, 47951, 47952, 47953, 47954, 47955, 47956, 47957, 47958, 47959, 47960, 47961, 47962, 47963, 47964, 47965, 47966, 47967, 47969, 52187, 52188, 52190, 52192, 52193, 52194, 52195, 52196, 52200, 52201, 52202, 52203, 52205, 52206, 52207, 52209, 52210, 52211, 55848, 55849, 55850, 55851, 55852, 55853, 55854, 55855, 55856, 55857, 55858, 55859, 55860, 55861, 55862, 55863, 55864, 55865, 55866, 55867, 55868, 55869, 55870, 55871, 55872, 55873, 55874, 55875, 55876, 55877, 55878, 55879, 55880, 55881, 55882, 55883, 55884, 55885, 55886, 55924, 55925, 55926, 55927, 55928, 55929, 55930, 55931, 55932, 55933, 55934, 55935, 55936, ...]",Adachi's Interviews,足立インタビュー資料,Barbara Curtis Adachi's interviews of Bunraku Troupe members.,あだちいんたびゅーしりょう,71
nan,[nan],"Kineya Hiroji, Offstage Musician",きねやひろじ,,きねやひろじ,72
nan,"[8281, 8282, 8283, 8284, 8289, 8306, 8324, 8325, 8326, 8327, 8379, 8380, 8382, 8383, 8421, 8423, 8424, 8425, 8434, 8435, 8436, 8450, 8452, 8453, 8464, 8478, 8479, 8480, 8513, 8514, 8515, 8516, 8517, 8518, 8519, 8533, 8534, 8590, 8591, 8592, 8593, 8594, 8595, 8596, 8597, 8598, 8630, 8631, 8647, 8859, 9055, 9056, 9094, 9097, 9098, 9099, 9101, 9102, 9103, 9108, 9117, 9118, 9119, 9130, 9131, 9138, 9172, 9173, 9174, 9175, 9565, 9566, 9567, 9568, 9625, 9626, 9641, 9716, 9718, 9721, 9726, 9733, 9751, 9752, 9956, 9957, 9958, 9959, 9960, 9963, 9969, 9970, 9974, 9976, 9977, 9989, 9990, 9991, 10005, 10007, ...]",Stage set,大道具,,おおどうぐ,73
nan,"[47645, 52245, 61529]",Hirata Yukio,ひらたゆきお,Accompanied Adachi on her interview trips with Bunraku Troupe members in 1977.,ひらたゆきお,74
nan,"[60763, 60764, 60779, 60780, 60782, 60783, 60784, 60785, 60786, 60787, 60793, 60794, 60796, 60798, 60802, 60807, 60810, 60811, 60813, 60814, 60816, 60817, 60820, 60821, 60828, 60830, 60831, 60837, 60841, 61144, 61145, 61146, 61147, 61538, 61900, 61901, 61902]",Donald Keene,ドナルド・キーン,,どなるど・きーん,75
nan,[61143],History of Bunraku,文楽の歴史資料,,ぶんらくのれきししりょう,76
nan,[nan],"Hamatani Hitoshi, Stage Director",浜谷仁,,はまだひとし,77
Puppet manipulated by one puppeteer,"[9625, 9626, 9641, 9987, 10073, 10082, 10083, 10084, 11164, 11174, 53338, 53339, 53403, 55160, 55164, 55167, 55273, 55282, 55498, 55499, 55500, 57522, 57523, 57557, 57911, 57912, 58624]",Hitori zukai,一人遣い,,ひとりづかい,78
